"Date","Time","Name","Amount","Tag"
"Jul 02, 2025","8:14 pm","Golden Palco Trading 12oz Lids & Cups, Dome lids ","5165.44","Non-Cash"
"Jul 02, 2025","8:13 pm","Ivoryway Ice","202","Cash"
"Jul 01, 2025","9:50 pm","Kamote 2kg","200","Cash"
"Jul 01, 2025","3:31 pm","Lalamove Warabi Mochi","137","Cash"
"Jul 01, 2025","3:29 pm","Lalamove Cones","190","Cash"
"Jul 01, 2025","3:09 pm","Coneland_FICx15 packs","480","Non-Cash"
"Jul 01, 2025","2:49 pm","R&BTubeIce","112","Cash"
"Jul 01, 2025","11:53 am","Irish Luck INC. Ice Cream Cups 220pcs","1316","Non-Cash"
"Jun 30, 2025","6:02 pm","Lalamove Delivery -Whisk and Scoop","84","Cash"
"Jun 30, 2025","5:51 pm","Lalamove Fee_Cookies","251","Cash"
"Jun 30, 2025","4:59 pm","M.D.R Consumer GoodsTrading_Salted Caramel Syrup, White Choco Syrup, Dairy milk","5620","Non-Cash"
"Jun 30, 2025","4:57 pm","Haig and Lee Import Export Corp._Chopsticks 100pcs, Mini Spoon 300pcs","548","Non-Cash"
"Jun 30, 2025","4:55 pm","Ivoryway Ice","180","Cash"
"Jun 30, 2025","12:47 pm","SM Eggs Medium 12s","117","Cash"
"Jun 29, 2025","9:15 pm","Grocery_Supermarket_Dairy6L,Condense","844","Cash"
"Jun 29, 2025","3:32 pm","Ivoryway Ice ","135","Cash"
"Jun 28, 2025","7:57 pm","Amazing Appetite Food Corp. Dairy 12L","985.60","Non-Cash"
"Jun 28, 2025","4:22 pm","R&BTubeIce_6packs","135","Cash"
"Jun 27, 2025","5:01 pm","Delivery_GrabMart_Sugar4kg, Whippingcream6L","3179","Non-Cash"
"Jun 27, 2025","4:59 pm","R&BTubeIce_7bags","158","Cash"
"Jun 27, 2025","4:59 pm","Fruitas_ CoconutWater500ml2x","170","Cash"
"Jun 27, 2025","4:58 pm","Grocery_Supermarket_Ev1L","84","Cash"
"Jun 27, 2025","4:57 pm","Egg 12pieces","180","Cash"
"Jun 27, 2025","11:46 am","Plain tissue (customer tissue) 10 packs","414.40","Non-Cash"
"Jun 26, 2025","3:40 pm","Kukido_Cookies","1470","Non-Cash"
"Jun 26, 2025","3:39 pm","Delivery_Lalamove_Cookies","180","Cash"
"Jun 26, 2025","1:43 pm","Fruitas_ CoconutWater500ml","85","Cash"
"Jun 25, 2025","7:24 pm","Ivoryway ice","157.5","Cash"
